rank;name;artist;date_added;popularity
1;Last Christmas - Single Version;Wham!;2023-12-25 08:54:47;89
2;All I Want for Christmas Is You;Mariah Carey;2023-12-25 08:54:47;100
3;Rockin' Around The Christmas Tree;Brenda Lee;2023-12-25 08:54:47;98
4;Merry Christmas Everyone;Shakin' Stevens;2023-12-25 08:54:47;91
5;Jingle Bell Rock;Bobby Helms;2023-12-25 08:54:47;94
6;Snowman;Sia;2023-12-25 08:54:47;94
7;Santa Tell Me;Ariana Grande;2023-12-25 08:54:47;96
8;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-25 08:54:47;95
9;Dzień jeden w roku;Czerwone Gitary;2023-12-25 08:54:47;68
10;Driving Home for Christmas;Chris Rea;2023-12-25 08:54:47;75
11;Kto Wie?;De Su;2023-12-25 08:54:47;69
12;Sleigh Ride;The Ronettes;2023-12-25 08:54:47;84
13;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-25 08:54:47;87
14;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-25 08:54:47;79
15;Holly Jolly Christmas;Michael Bublé;2023-12-25 08:54:47;83
16;Z kopyta kulig rwie;Skaldowie;2023-12-25 08:54:47;67
17;Coraz Bliżej Święta;Margaret;2023-12-25 08:54:47;68
18;Feliz Navidad;José Feliciano;2023-12-25 08:54:47;88
19;Ding dong;Kayah;2023-12-25 08:54:47;67
20;Underneath the Tree;Kelly Clarkson;2023-12-25 08:54:47;86
21;Do They Know It's Christmas? - 1984 Version;Band Aid;2023-12-25 08:54:47;89
22;Zaśnieżone miasta;Gromee;2023-12-25 08:54:47;66
23;ŚWIEĆ GWIAZDECZKO ŚWIEĆ;Arka Noego;2023-12-25 08:54:47;60
24;Thank God It's Christmas - 2011 Remaster;Queen;2023-12-25 08:54:47;75
25;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);Frank Sinatra;2023-12-25 08:54:47;91
26;Happy Xmas (War Is Over) - Remastered 2010;John Lennon;2023-12-25 08:54:47;92
27;My Only Wish (This Year);Britney Spears;2023-12-25 08:54:47;88
28;Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;2023-12-25 08:54:47;91
29;Mistletoe and Wine;Cliff Richard;2023-12-25 08:54:47;79
30;Carol of the Bells;Mykola Dmytrovych Leontovych;2023-12-25 08:54:47;85
31;Mistletoe;Justin Bieber;2023-12-25 08:54:47;92
32;It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra);Perry Como;2023-12-25 08:54:47;90
33;Merry Christmas;Ed Sheeran;2023-12-25 08:54:47;89
34;HIPNOZA;NIKOŚ;2023-12-25 08:54:47;73
35;Przybieżeli do Betlejem;Krzysztof Krawczyk;2023-12-25 08:54:47;49
36;Santa's Coming for Us;Sia;2023-12-25 08:54:47;87
37;The Christmas Song (Merry Christmas To You);Nat King Cole;2023-12-25 08:54:47;75
38;Dzisiaj w Betlejem;GOLEC UORKIESTRA;2023-12-25 08:54:47;50
39;Kevin sam w domu;Blacha 2115;2023-12-25 08:54:47;64
40;Deck The Hall;Nat King Cole;2023-12-25 08:54:47;88
41;Wonderful Dream (Holidays Are Coming) - Radio Version;Melanie Thornton;2023-12-25 08:54:47;65
42;Mario, czy już wiesz?;TGD;2023-12-25 08:54:47;51
43;Christmas Lights;Coldplay;2023-12-25 08:54:47;86
44;Hallelujah;Pentatonix;2023-12-25 08:54:47;81
45;Jingle Bell Rock - Daryl's Version;Daryl Hall & John Oates;2023-12-25 08:54:47;86
46;Pójdźmy Wszyscy do Stajenki;GOLEC UORKIESTRA;2023-12-25 08:54:47;49
47;GORE GWIAZDA JEZUSOWI;Arka Noego;2023-12-25 08:54:47;54
48;Christmas Time;Bryan Adams;2023-12-25 08:54:47;72
49;Razem W Te Święta;Jan Stosur;2023-12-25 08:54:47;50
50;Gdy śliczna Panna;Halina Mlynkova;2023-12-25 08:54:47;46
