rank;name;artist;date_added;popularity
1;Last Christmas - Single Version;Wham!;2023-12-23 10:22:22;89
2;All I Want for Christmas Is You;Mariah Carey;2023-12-23 10:22:22;100
3;Rockin' Around The Christmas Tree;Brenda Lee;2023-12-23 10:22:22;98
4;Snowman;Sia;2023-12-23 10:22:22;94
5;Merry Christmas Everyone;Shakin' Stevens;2023-12-23 10:22:22;91
6;Santa Tell Me;Ariana Grande;2023-12-23 10:22:22;96
7;HIPNOZA;NIKOŚ;2023-12-23 10:22:22;73
8;Jingle Bell Rock;Bobby Helms;2023-12-23 10:22:22;94
9;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-23 10:22:22;95
10;Driving Home for Christmas;Chris Rea;2023-12-23 10:22:22;75
11;Sleigh Ride;The Ronettes;2023-12-23 10:22:22;83
12;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-23 10:22:22;79
13;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-23 10:22:22;87
14;Holly Jolly Christmas;Michael Bublé;2023-12-23 10:22:22;83
15;Kevin sam w domu;Blacha 2115;2023-12-23 10:22:22;62
16;Feliz Navidad;José Feliciano;2023-12-23 10:22:22;88
17;Kto Wie?;De Su;2023-12-23 10:22:22;68
18;Dzień jeden w roku;Czerwone Gitary;2023-12-23 10:22:22;67
19;Underneath the Tree;Kelly Clarkson;2023-12-23 10:22:22;86
20;BFF;bambi;2023-12-23 10:22:22;75
21;Do They Know It's Christmas? - 1984 Version;Band Aid;2023-12-23 10:22:22;89
22;Coraz Bliżej Święta;Margaret;2023-12-23 10:22:22;68
23;Z kopyta kulig rwie;Skaldowie;2023-12-23 10:22:22;66
24;Fluid;ReTo;2023-12-23 10:22:22;73
25;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);Frank Sinatra;2023-12-23 10:22:22;91
26;Stan;Gibbs;2023-12-23 10:22:22;65
27;My Only Wish (This Year);Britney Spears;2023-12-23 10:22:22;88
28;Jolie Jolie;Blacha 2115;2023-12-23 10:22:22;72
29;Happy Xmas (War Is Over) - Remastered 2010;John Lennon;2023-12-23 10:22:22;92
30;Ding dong;Kayah;2023-12-23 10:22:22;66
31;Thank God It's Christmas - 2011 Remaster;Queen;2023-12-23 10:22:22;75
32;Dzięki, że jesteś;Lanberry;2023-12-23 10:22:22;69
33;Zaśnieżone miasta;Gromee;2023-12-23 10:22:22;65
34;Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;2023-12-23 10:22:22;91
35;greedy;Tate McRae;2023-12-23 10:22:22;98
36;Mistletoe and Wine;Cliff Richard;2023-12-23 10:22:22;79
37;Autumn Dance;L.U.C.;2023-12-23 10:22:22;49
38;Mam Cię;Paluch;2023-12-23 10:22:22;71
39;Miyabi;PRO8L3M;2023-12-23 10:22:22;68
40;Mistletoe;Justin Bieber;2023-12-23 10:22:22;92
41;Całkiem Nowa Bajka;Kleks;2023-12-23 10:22:22;63
42;Merry Christmas;Ed Sheeran;2023-12-23 10:22:22;89
43;Nicea;PRO8L3M;2023-12-23 10:22:22;66
44;Santa's Coming for Us;Sia;2023-12-23 10:22:22;87
45;Ne Rozumiju;Vixen;2023-12-23 10:22:22;68
46;Carol of the Bells;Mykola Dmytrovych Leontovych;2023-12-23 10:22:22;85
47;JEREMY SOCHAN;Oki;2023-12-23 10:22:22;72
48;It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra);Perry Como;2023-12-23 10:22:22;90
49;Nim Zajdzie Słońce;Smolasty;2023-12-23 10:22:22;72
50;Explosion Ech poleczko - DNSQ Remix;Kalwi & Remi;2023-12-23 10:22:22;70
