rank;name;artist;date_added;popularity
1;Last Christmas - Single Version;Wham!;2023-12-24 08:57:52;89
2;All I Want for Christmas Is You;Mariah Carey;2023-12-24 08:57:52;100
3;Rockin' Around The Christmas Tree;Brenda Lee;2023-12-24 08:57:52;98
4;Snowman;Sia;2023-12-24 08:57:52;94
5;Jingle Bell Rock;Bobby Helms;2023-12-24 08:57:52;94
6;Merry Christmas Everyone;Shakin' Stevens;2023-12-24 08:57:52;91
7;Santa Tell Me;Ariana Grande;2023-12-24 08:57:52;96
8;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-24 08:57:52;95
9;Driving Home for Christmas;Chris Rea;2023-12-24 08:57:52;75
10;Sleigh Ride;The Ronettes;2023-12-24 08:57:52;84
11;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-24 08:57:52;87
12;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-24 08:57:52;79
13;Holly Jolly Christmas;Michael Bublé;2023-12-24 08:57:52;83
14;Dzień jeden w roku;Czerwone Gitary;2023-12-24 08:57:52;67
15;Kto Wie?;De Su;2023-12-24 08:57:52;68
16;Underneath the Tree;Kelly Clarkson;2023-12-24 08:57:52;86
17;Feliz Navidad;José Feliciano;2023-12-24 08:57:52;88
18;Z kopyta kulig rwie;Skaldowie;2023-12-24 08:57:52;66
19;HIPNOZA;NIKOŚ;2023-12-24 08:57:52;73
20;Do They Know It's Christmas? - 1984 Version;Band Aid;2023-12-24 08:57:52;89
21;Coraz Bliżej Święta;Margaret;2023-12-24 08:57:52;68
22;Thank God It's Christmas - 2011 Remaster;Queen;2023-12-24 08:57:52;75
23;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);Frank Sinatra;2023-12-24 08:57:52;91
24;Ding dong;Kayah;2023-12-24 08:57:52;66
25;Happy Xmas (War Is Over) - Remastered 2010;John Lennon;2023-12-24 08:57:52;92
26;Kevin sam w domu;Blacha 2115;2023-12-24 08:57:52;63
27;My Only Wish (This Year);Britney Spears;2023-12-24 08:57:52;88
28;Zaśnieżone miasta;Gromee;2023-12-24 08:57:52;66
29;Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;2023-12-24 08:57:52;91
30;Mistletoe and Wine;Cliff Richard;2023-12-24 08:57:52;79
31;BFF;bambi;2023-12-24 08:57:52;74
32;Mistletoe;Justin Bieber;2023-12-24 08:57:52;92
33;Carol of the Bells;Mykola Dmytrovych Leontovych;2023-12-24 08:57:52;85
34;Merry Christmas;Ed Sheeran;2023-12-24 08:57:52;89
35;Santa's Coming for Us;Sia;2023-12-24 08:57:52;87
36;It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra);Perry Como;2023-12-24 08:57:52;90
37;Fluid;ReTo;2023-12-24 08:57:52;73
38;Stan;Gibbs;2023-12-24 08:57:52;65
39;Wonderful Dream (Holidays Are Coming) - Radio Version;Melanie Thornton;2023-12-24 08:57:52;64
40;Deck The Hall;Nat King Cole;2023-12-24 08:57:52;88
41;The Christmas Song (Merry Christmas To You);Nat King Cole;2023-12-24 08:57:52;74
42;Jolie Jolie;Blacha 2115;2023-12-24 08:57:52;72
43;Dzięki, że jesteś;Lanberry;2023-12-24 08:57:52;69
44;Christmas Lights;Coldplay;2023-12-24 08:57:52;85
45;Jingle Bell Rock - Daryl's Version;Daryl Hall & John Oates;2023-12-24 08:57:52;86
46;Hallelujah;Pentatonix;2023-12-24 08:57:52;81
47;Autumn Dance;L.U.C.;2023-12-24 08:57:52;49
48;greedy;Tate McRae;2023-12-24 08:57:52;98
49;Całkiem Nowa Bajka;Kleks;2023-12-24 08:57:52;63
50;Christmas Time;Bryan Adams;2023-12-24 08:57:52;72
